,asin,meta,Title,Author
1164,0345482476,"{'ISBN-13': '9780345482471', 'Title': 'Shadow Divers', 'Authors': ['Robert Kurson'], 'Publisher': 'Ballantine Books', 'Year': '2005', 'Language': ''}",Shadow Divers,Robert Kurson
1165,0345486455,"{'ISBN-13': '9780345486455', 'Title': 'Healthy Sleep Habits, Happy Child', 'Authors': ['Marc Weissbluth'], 'Publisher': 'Random House Digital, Inc.', 'Year': '2005', 'Language': 'en'}","Healthy Sleep Habits, Happy Child",Marc Weissbluth
1166,0345487133,"{'ISBN-13': '9780345487131', 'Title': 'Earth Abides', 'Authors': ['George Rippey Stewart'], 'Publisher': 'Del Rey Books', 'Year': '2006', 'Language': ''}",Earth Abides,George Rippey Stewart
1167,034549038X,"{'ISBN-13': '9780345490384', 'Title': 'The Dante Club', 'Authors': ['Pearl, Matthew'], 'Publisher': 'Ballantine Books', 'Year': '2006', 'Language': ''}",The Dante Club,"Pearl, Matthew"
1168,0345492730,"{'ISBN-13': '9780345492739', 'Title': 'Christ The Lord', 'Authors': ['Anne Rice'], 'Publisher': 'Random House Digital, Inc.', 'Year': '2008', 'Language': 'en'}",Christ The Lord,Anne Rice
1169,0345494997,"{'ISBN-13': '9780345494993', 'Title': 'Loving Frank', 'Authors': ['Nancy Horan'], 'Publisher': 'Ballantine Books', 'Year': '2007', 'Language': ''}",Loving Frank,Nancy Horan
1170,0345502825,"{'ISBN-13': '9780345502827', 'Title': 'The Wednesday sisters', 'Authors': ['Meg Waite Clayton'], 'Publisher': 'Ballantine Books', 'Year': '2008', 'Language': ''}",The Wednesday sisters,Meg Waite Clayton
1171,0345503805,"{'ISBN-13': '9780345503800', 'Title': 'The Warded Man', 'Authors': ['Peter V. Brett'], 'Publisher': 'Del Rey Books', 'Year': '2009', 'Language': 'en'}",The Warded Man,Peter V. Brett
1172,0345503821,"{'ISBN-13': '9780345503824', 'Title': 'The Daylight War', 'Authors': ['Peter V. Brett'], 'Publisher': 'Del Rey Books', 'Year': '2013', 'Language': ''}",The Daylight War,Peter V. Brett
1173,0345504968,"{'ISBN-13': '9780345504968', 'Title': 'The passage', 'Authors': ['Justin Cronin'], 'Publisher': 'Ballantine Books', 'Year': '2010', 'Language': ''}",The passage,Justin Cronin
1174,0345504984,"{'ISBN-13': '9780345504982', 'Title': 'The twelve', 'Authors': ['Justin Cronin'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",The twelve,Justin Cronin
1176,0345505336,"{'ISBN-13': '9780345505330', 'Title': 'Hotel on the corner of bitter and sweet', 'Authors': ['Jamie Ford'], 'Publisher': 'Ballantine Books', 'Year': '2009', 'Language': ''}",Hotel on the corner of bitter and sweet,Jamie Ford
1177,0345505514,"{'ISBN-13': '9780345505514', 'Title': 'The Jefferson key', 'Authors': ['Steve Berry'], 'Publisher': 'Ballantine Books', 'Year': '2011', 'Language': ''}",The Jefferson key,Steve Berry
1178,0345505719,"{'ISBN-13': '9780345505712', 'Title': 'Victims', 'Authors': ['Jonathan Kellerman'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",Victims,Jonathan Kellerman
1179,0345505735,"{'ISBN-13': '9780345505736', 'Title': 'Guilt', 'Authors': ['Jonathan Kellerman'], 'Publisher': '', 'Year': '2013', 'Language': ''}",Guilt,Jonathan Kellerman
1180,0345505751,"{'ISBN-13': '9780345505750', 'Title': 'Killer', 'Authors': ['Jonathan Kellerman'], 'Publisher': '', 'Year': '2014', 'Language': ''}",Killer,Jonathan Kellerman
1181,0345506936,"{'ISBN-13': '9780345506931', 'Title': 'Shadow woman', 'Authors': ['Linda Howard'], 'Publisher': '', 'Year': '2013', 'Language': ''}",Shadow woman,Linda Howard
1182,0345514408,"{'ISBN-13': '9780345514400', 'Title': 'I Know Why the Caged Bird Sings', 'Authors': [''], 'Publisher': 'Ballantine Books', 'Year': '2009', 'Language': ''}",I Know Why the Caged Bird Sings,
1183,034551548X,"{'ISBN-13': '9780345515483', 'Title': 'Ice Cold', 'Authors': ['Tess Gerritsen'], 'Publisher': 'Ballantine Books', 'Year': '2010', 'Language': ''}",Ice Cold,Tess Gerritsen
1184,0345515501,"{'ISBN-13': '9780345515506', 'Title': 'The silent girl', 'Authors': ['Tess Gerritsen'], 'Publisher': 'Ballantine Books', 'Year': '2011', 'Language': ''}",The silent girl,Tess Gerritsen
1185,0345515633,"{'ISBN-13': '9780345515636', 'Title': 'Rizzoli & Isles', 'Authors': ['Tess Gerritsen'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",Rizzoli & Isles,Tess Gerritsen
1186,0345518845,"{'ISBN-13': '9780345518842', 'Title': 'The Children of Hurin', 'Authors': ['J. R. R. Tolkien'], 'Publisher': 'Del Rey', 'Year': '2010', 'Language': ''}",The Children of Hurin,J. R. R. Tolkien
1187,0345519833,"{'ISBN-13': '9780345519832', 'Title': 'Blackout', 'Authors': ['Connie Willis'], 'Publisher': 'Spectra', 'Year': '2010', 'Language': ''}",Blackout,Connie Willis
1188,0345521080,"{'ISBN-13': '9780345521088', 'Title': 'The eighty-dollar champion', 'Authors': ['Elizabeth Letts'], 'Publisher': 'Ballantine Books', 'Year': '2011', 'Language': ''}",The eighty-dollar champion,Elizabeth Letts
1189,0345521307,"{'ISBN-13': '9780345521309', 'Title': 'The Paris wife', 'Authors': ['Paula McLain'], 'Publisher': 'Ballantine Books', 'Year': '2011', 'Language': ''}",The Paris wife,Paula McLain
1190,0345522028,"{'ISBN-13': '9780345522023', 'Title': 'Songs of Willow Frost', 'Authors': ['Jamie Ford'], 'Publisher': '', 'Year': '2013', 'Language': ''}",Songs of Willow Frost,Jamie Ford
1191,0345522478,"{'ISBN-13': '9780345522474', 'Title': 'Hounded', 'Authors': ['Kevin Hearne'], 'Publisher': 'Del Rey Books', 'Year': '2011', 'Language': ''}",Hounded,Kevin Hearne
1192,0345526511,"{'ISBN-13': '9780345526519', 'Title': 'The Columbus affair', 'Authors': ['Steve Berry'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",The Columbus affair,Steve Berry
1193,0345526546,"{'ISBN-13': '9780345526540', 'Title': 'Kings Deception A Novel', 'Authors': ['Steve Berry'], 'Publisher': 'Ballantine Books', 'Year': '2013', 'Language': ''}",Kings Deception A Novel,Steve Berry
1196,0345527356,"{'ISBN-13': '9780345527356', 'Title': 'A blaze of glory', 'Authors': ['Jeff Shaara'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",A blaze of glory,Jeff Shaara
1197,0345527682,"{'ISBN-13': '9780345527684', 'Title': ""Smokin' Seventeen"", 'Authors': ['Janet Evanovich'], 'Publisher': 'Bantam', 'Year': '2011', 'Language': ''}",Smokin' Seventeen,Janet Evanovich
1198,0345528204,"{'ISBN-13': '9780345528209', 'Title': 'Fallen', 'Authors': ['Karin Slaughter'], 'Publisher': 'Delacorte Books', 'Year': '2011', 'Language': ''}",Fallen,Karin Slaughter
1199,0345528506,"{'ISBN-13': '9780345528506', 'Title': 'Criminal', 'Authors': ['Karin Slaughter'], 'Publisher': 'Delacorte Press', 'Year': '2012', 'Language': ''}",Criminal,Karin Slaughter
1200,0345528670,"{'ISBN-13': '9780345528674', 'Title': ""The ambassador's daughter"", 'Authors': ['Melanie Benjamin'], 'Publisher': 'Delacorte Press', 'Year': '2013', 'Language': ''}",The ambassador's daughter,Melanie Benjamin
1201,0345528816,"{'ISBN-13': '9780345528810', 'Title': 'Starting Now (Blossom Street #9)', 'Authors': ['Debbie Macomber'], 'Publisher': 'Ballantine Books', 'Year': '2013', 'Language': ''}",Starting Now (Blossom Street #9),Debbie Macomber
1202,0345528840,"{'ISBN-13': '9780345528841', 'Title': 'Blossom Street brides', 'Authors': ['Debbie Macomber'], 'Publisher': '', 'Year': '2014', 'Language': ''}",Blossom Street brides,Debbie Macomber
1203,0345528875,"{'ISBN-13': '9780345528872', 'Title': 'Angels at the table', 'Authors': ['Debbie Macomber'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",Angels at the table,Debbie Macomber
1205,0345528921,"{'ISBN-13': '9780345528926', 'Title': 'The inn at Rose Harbor', 'Authors': ['Debbie Macomber'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",The inn at Rose Harbor,Debbie Macomber
1206,034552893X,"{'ISBN-13': '9780345528933', 'Title': 'Rose Harbor in Bloom', 'Authors': ['Debbie Macomber'], 'Publisher': 'Ballantine Books', 'Year': '2013', 'Language': ''}",Rose Harbor in Bloom,Debbie Macomber
1208,0345530888,"{'ISBN-13': '9780345530882', 'Title': 'Until the end of time', 'Authors': ['Danielle Steel'], 'Publisher': 'Delacorte Press', 'Year': '2013', 'Language': ''}",Until the end of time,Danielle Steel
1209,0345530918,"{'ISBN-13': '9780345530912', 'Title': 'Power play', 'Authors': ['Danielle Steel'], 'Publisher': '', 'Year': '2014', 'Language': ''}",Power play,Danielle Steel
1211,0345531566,"{'ISBN-13': '9780345531568', 'Title': 'The Witch Is Back', 'Authors': ['H. P. Mallory'], 'Publisher': 'Bantam', 'Year': '2012', 'Language': ''}",The Witch Is Back,H. P. Mallory
1212,0345531582,"{'ISBN-13': '9780345531582', 'Title': 'Something Witchy This Way Comes A Jolie Wilkins Novel', 'Authors': ['H. P. Mallory'], 'Publisher': 'Bantam', 'Year': '2012', 'Language': ''}",Something Witchy This Way Comes A Jolie Wilkins Novel,H. P. Mallory
1214,0345531965,"{'ISBN-13': '9780345531964', 'Title': 'The Testament', 'Authors': ['John Grisham'], 'Publisher': 'Dell Publishing Company', 'Year': '2011', 'Language': 'en'}",The Testament,John Grisham
1215,0345531973,"{'ISBN-13': '9780345531971', 'Title': 'The Brethren', 'Authors': ['John Grisham'], 'Publisher': 'Dell Publishing Company', 'Year': '2012', 'Language': 'en'}",The Brethren,John Grisham
1216,034553199X,"{'ISBN-13': '9780345531995', 'Title': 'The King Of Torts', 'Authors': ['John Grisham'], 'Publisher': 'Dell Publishing Company', 'Year': '2012', 'Language': 'en'}",The King Of Torts,John Grisham
1217,0345532015,"{'ISBN-13': '9780345532015', 'Title': 'The Innocent Man', 'Authors': ['John Grisham'], 'Publisher': 'Dell Publishing Company', 'Year': '2012', 'Language': 'en'}",The Innocent Man,John Grisham
1218,0345532023,"{'ISBN-13': '9780345532022', 'Title': 'The Appeal', 'Authors': ['John Grisham'], 'Publisher': 'Dell Publishing Company', 'Year': '2012', 'Language': 'en'}",The Appeal,John Grisham
1221,034553302X,"{'ISBN-13': '9780345533029', 'Title': 'Brother Odd An Odd Thomas Novel', 'Authors': ['Dean R. Koontz'], 'Publisher': 'Bantam', 'Year': '2012', 'Language': ''}",Brother Odd An Odd Thomas Novel,Dean R. Koontz
1223,0345533232,"{'ISBN-13': '9780345533234', 'Title': 'Never Seduce a Scot', 'Authors': ['Maya Banks'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",Never Seduce a Scot,Maya Banks
1226,0345533313,"{'ISBN-13': '9780345533319', 'Title': 'Forever Odd Odd Thomas Novels', 'Authors': ['Dean R. Koontz'], 'Publisher': 'Bantam', 'Year': '2012', 'Language': ''}",Forever Odd Odd Thomas Novels,Dean R. Koontz
1227,0345533429,"{'ISBN-13': '9780345533425', 'Title': 'Odd Thomas An Odd Thomas Novel', 'Authors': ['Dean R. Koontz'], 'Publisher': 'Bantam', 'Year': '2012', 'Language': ''}",Odd Thomas An Odd Thomas Novel,Dean R. Koontz
1229,0345533623,"{'ISBN-13': '9780345533623', 'Title': 'Tricked', 'Authors': ['Kevin Hearne'], 'Publisher': 'Del Rey Books', 'Year': '2012', 'Language': ''}",Tricked,Kevin Hearne
1231,034553364X,"{'ISBN-13': '9780345533647', 'Title': 'Trapped', 'Authors': ['Kevin Hearne'], 'Publisher': 'Del Rey Books', 'Year': '2012', 'Language': ''}",Trapped,Kevin Hearne
1234,0345534522,"{'ISBN-13': '9780345534521', 'Title': 'Empty Mansions: The Mysterious Life of Huguette Clark and the Spending of a Great American Fortune', 'Authors': ['Bill Dedman'], 'Publisher': 'Ballantine Books', 'Year': '2013', 'Language': ''}",Empty Mansions: The Mysterious Life of Huguette Clark and the Spending of a Great American Fortune,Bill Dedman
1237,0345535405,"{'ISBN-13': '9780345535405', 'Title': 'The last victim', 'Authors': ['Karen Robards'], 'Publisher': 'Ballantine Books', 'Year': '2012', 'Language': ''}",The last victim,Karen Robards
1238,0345535529,"{'ISBN-13': '9780345535528', 'Title': 'Game Of Thrones 5copy Box', 'Authors': ['George R. R. Martin'], 'Publisher': 'Bantam', 'Year': '2012', 'Language': ''}",Game Of Thrones 5copy Box,George R. R. Martin
1241,0345538196,"{'ISBN-13': '9780345538192', 'Title': 'One Shot', 'Authors': ['Lee Child'], 'Publisher': 'Dell Publishing Company', 'Year': '2012', 'Language': 'en'}",One Shot,Lee Child
1242,0345539478,"{'ISBN-13': '9780345539472', 'Title': 'Unseen', 'Authors': ['Karin Slaughter'], 'Publisher': '', 'Year': '2013', 'Language': ''}",Unseen,Karin Slaughter
1245,0345542886,"{'ISBN-13': '9780345542885', 'Title': 'Takedown Twenty', 'Authors': ['Janet Evanovich'], 'Publisher': 'Bantam', 'Year': '2013', 'Language': 'en'}",Takedown Twenty,Janet Evanovich
1246,0345542924,"{'ISBN-13': '9780345542922', 'Title': 'Top secret twenty-one', 'Authors': ['Janet Evanovich'], 'Publisher': '', 'Year': '2014', 'Language': ''}",Top secret twenty-one,Janet Evanovich
1247,0345543041,"{'ISBN-13': '9780345543042', 'Title': 'The Heist', 'Authors': ['Janet Evanovich'], 'Publisher': 'Bantam', 'Year': '2013', 'Language': 'en'}",The Heist,Janet Evanovich
1248,0345543084,"{'ISBN-13': '9780345543080', 'Title': 'The Chase', 'Authors': ['Janet Evanovich', 'Lee Goldberg'], 'Publisher': 'Bantam – Random House', 'Year': '2014', 'Language': ''}",The Chase,Janet Evanovich
1250,0345544110,"{'ISBN-13': '9780345544117', 'Title': 'Release Me: A Novel', 'Authors': ['J. Kenner'], 'Publisher': 'Bantam', 'Year': '2013', 'Language': ''}",Release Me: A Novel,J. Kenner
1252,0345545869,"{'ISBN-13': '9780345545862', 'Title': 'Complete Me A Novel', 'Authors': ['Julie Kenner'], 'Publisher': 'Bantam', 'Year': '2013', 'Language': ''}",Complete Me A Novel,Julie Kenner
1257,0345546881,"{'ISBN-13': '9780345546883', 'Title': 'The One & Only', 'Authors': ['EMILY GIFFIN'], 'Publisher': 'Ballantine Books', 'Year': '2014', 'Language': ''}",The One & Only,EMILY GIFFIN
1260,0345803485,"{'ISBN-13': '9780345803481', 'Title': 'Fifty Shades of Grey', 'Authors': ['E. L. James'], 'Publisher': 'Vintage', 'Year': '2012', 'Language': ''}",Fifty Shades of Grey,E. L. James
1261,0345803493,"{'ISBN-13': '9780345803498', 'Title': 'Fifty shades darker', 'Authors': ['E.L James'], 'Publisher': 'Vintage Books', 'Year': '2012', 'Language': ''}",Fifty shades darker,E.L James
1262,0345803507,"{'ISBN-13': '9780345803504', 'Title': 'Fifty shades freed', 'Authors': ['E. L. James'], 'Publisher': 'Vintage Books', 'Year': '2012', 'Language': ''}",Fifty shades freed,E. L. James
1265,0345807154,"{'ISBN-13': '9780345807151', 'Title': 'Cockroaches', 'Authors': ['Jo Nesb©ı'], 'Publisher': '', 'Year': '2014', 'Language': ''}",Cockroaches,Jo Nesb©ı
1275,0373039549,"{'ISBN-13': '9780373039548', 'Title': 'Hired By the Cowboy', 'Authors': ['Donna Alward'], 'Publisher': 'Harlequin Romance', 'Year': '2007', 'Language': ''}",Hired By the Cowboy,Donna Alward
1277,0373076312,"{'ISBN-13': '9780373076314', 'Title': 'Return Of Rafe Mackade (Heartbreakers)', 'Authors': ['Nora Roberts'], 'Publisher': 'Silhouette', 'Year': '1995', 'Language': ''}",Return Of Rafe Mackade (Heartbreakers),Nora Roberts
1278,0373126212,"{'ISBN-13': '9780373126217', 'Title': ""The Italian's Inexperienced Mistress (Harlequin Presents)"", 'Authors': ['Lynne Graham'], 'Publisher': 'Harlequin', 'Year': '2007', 'Language': ''}",The Italian's Inexperienced Mistress (Harlequin Presents),Lynne Graham
1279,0373190573,"{'ISBN-13': '9780373190577', 'Title': 'Lonely Millionaire', 'Authors': ['Grace'], 'Publisher': 'Silhouette', 'Year': '1994', 'Language': ''}",Lonely Millionaire,Grace
1280,0373210035,"{'ISBN-13': '9780373210039', 'Title': 'My Soul to Take (Soul Screamers #1)', 'Authors': ['Rachel Vincent'], 'Publisher': 'Harlequin Teen', 'Year': '2009', 'Language': ''}",My Soul to Take (Soul Screamers #1),Rachel Vincent
1281,0373210086,"{'ISBN-13': '9780373210084', 'Title': 'Iron King', 'Authors': [''], 'Publisher': '', 'Year': '', 'Language': ''}",Iron King,
1282,0373210132,"{'ISBN-13': '9780373210138', 'Title': 'The Iron Daughter (Iron Fey #2)', 'Authors': ['Julie Kagawa'], 'Publisher': 'Harlequin Teen', 'Year': '2010', 'Language': ''}",The Iron Daughter (Iron Fey #2),Julie Kagawa
1283,0373210183,"{'ISBN-13': '9780373210183', 'Title': 'The iron queen', 'Authors': ['Julie Kagawa'], 'Publisher': 'Harlequin Enterprises Limited', 'Year': '2010', 'Language': ''}",The iron queen,Julie Kagawa
1284,0373210264,"{'ISBN-13': '9780373210268', 'Title': 'The goddess test', 'Authors': ['Aimée Carter'], 'Publisher': 'Harlequin Teen', 'Year': '2011', 'Language': ''}",The goddess test,Aimée Carter
1285,0373210493,"{'ISBN-13': '9780373210497', 'Title': 'Pushing The Limits', 'Authors': ['Katie McGarry'], 'Publisher': 'Harlequin', 'Year': '2012', 'Language': 'en'}",Pushing The Limits,Katie McGarry
1286,0373210515,"{'ISBN-13': '9780373210510', 'Title': 'The Immortal Rules', 'Authors': ['Julie Kagawa'], 'Publisher': 'Harlequin', 'Year': '2012', 'Language': 'en'}",The Immortal Rules,Julie Kagawa
1287,0373210574,"{'ISBN-13': '9780373210572', 'Title': 'The Lost Prince', 'Authors': ['Julie Kagawa'], 'Publisher': 'Harlequin', 'Year': '2012', 'Language': 'en'}",The Lost Prince,Julie Kagawa
1288,0373210582,"{'ISBN-13': '9780373210589', 'Title': 'Alice In Zombieland', 'Authors': ['Gena Showalter'], 'Publisher': 'Harlequin Teen', 'Year': '2012', 'Language': ''}",Alice In Zombieland,Gena Showalter
1289,0373210639,"{'ISBN-13': '9780373210633', 'Title': 'Dare You To', 'Authors': ['Katie McGarry'], 'Publisher': 'Harlequin', 'Year': '2013', 'Language': 'en'}",Dare You To,Katie McGarry
1290,0373210698,"{'ISBN-13': '9780373210695', 'Title': 'The Eternity Cure', 'Authors': ['Julie Kagawa'], 'Publisher': 'Harlequin Teen', 'Year': '2013', 'Language': ''}",The Eternity Cure,Julie Kagawa
1291,0373211104,"{'ISBN-13': '9780373211104', 'Title': 'White Hot Kiss', 'Authors': ['Jennifer L. Armentrout'], 'Publisher': 'Harlequin Teen', 'Year': '2014', 'Language': ''}",White Hot Kiss,Jennifer L. Armentrout
1292,0373244045,"{'ISBN-13': '9780373244041', 'Title': 'Almost A Bride (Wyoming Wildflowers)', 'Authors': ['Patricia McLinn'], 'Publisher': 'Silhouette', 'Year': '2001', 'Language': ''}",Almost A Bride (Wyoming Wildflowers),Patricia McLinn
1293,0373247575,"{'ISBN-13': '9780373247578', 'Title': 'Dancing In The Moonlight (Silhouette Special Edition)', 'Authors': ['RaeAnne Thayne'], 'Publisher': 'Silhouette', 'Year': '2006', 'Language': ''}",Dancing In The Moonlight (Silhouette Special Edition),RaeAnne Thayne
1295,0373278055,"{'ISBN-13': '9780373278053', 'Title': 'Cowboy With A Cause', 'Authors': ['Carla Cassidy'], 'Publisher': 'Harlequin', 'Year': '2012', 'Language': ''}",Cowboy With A Cause,Carla Cassidy
1296,0373285442,"{'ISBN-13': '9780373285440', 'Title': ""Gabriel's angel"", 'Authors': ['Nora Roberts'], 'Publisher': 'Silhouette Books', 'Year': '1989', 'Language': ''}",Gabriel's angel,Nora Roberts
1297,0373294212,"{'ISBN-13': '9780373294213', 'Title': 'The inconvenient duchess', 'Authors': ['Christine Merrill'], 'Publisher': 'Harlequin Books', 'Year': '2006', 'Language': ''}",The inconvenient duchess,Christine Merrill
1298,0373442556,"{'ISBN-13': '9780373442553', 'Title': 'Hide In Plain Sight (The Three Sisters Inn Series #1) (Steeple Hill Love Inspired Suspense)', 'Authors': ['Marta Perry'], 'Publisher': 'Steeple Hill', 'Year': '2007', 'Language': ''}",Hide In Plain Sight (The Three Sisters Inn Series #1) (Steeple Hill Love Inspired Suspense),Marta Perry
1299,0373718241,"{'ISBN-13': '9780373718245', 'Title': 'The Other Side Of Us', 'Authors': ['Sarah Mayberry'], 'Publisher': 'Harlequin', 'Year': '2013', 'Language': ''}",The Other Side Of Us,Sarah Mayberry
1300,0373730489,"{'ISBN-13': '9780373730483', 'Title': 'Guilty of Love (Mystique Books, 48)', 'Authors': [''], 'Publisher': 'Worldwide Library', 'Year': '1979', 'Language': ''}","Guilty of Love (Mystique Books, 48)",
1301,0373752253,"{'ISBN-13': '9780373752256', 'Title': 'Cowboy dad', 'Authors': ['Cathy McDavid'], 'Publisher': 'Harlequin', 'Year': '2008', 'Language': ''}",Cowboy dad,Cathy McDavid
1302,0373768931,"{'ISBN-13': '9780373768936', 'Title': 'Baby Bonanza', 'Authors': ['Maureen Child'], 'Publisher': 'Silhouette', 'Year': '2008', 'Language': 'en'}",Baby Bonanza,Maureen Child
1303,0373772467,"{'ISBN-13': '9780373772469', 'Title': 'The Darkest Night (Lords of the Underworld #1)', 'Authors': ['Gena Showalter'], 'Publisher': 'HQN', 'Year': '2008', 'Language': ''}",The Darkest Night (Lords of the Underworld #1),Gena Showalter
1304,0373776780,"{'ISBN-13': '9780373776788', 'Title': 'Exclusively yours', 'Authors': ['Shannon Stacey'], 'Publisher': 'HQN', 'Year': '2011', 'Language': ''}",Exclusively yours,Shannon Stacey
1305,0373777434,"{'ISBN-13': '9780373777433', 'Title': 'Beauty awakened', 'Authors': ['Gena Showalter'], 'Publisher': 'Harlequin HQN', 'Year': '2013', 'Language': ''}",Beauty awakened,Gena Showalter
1306,0373777604,"{'ISBN-13': '9780373777600', 'Title': 'Just One Kiss', 'Authors': ['Susan Mallery'], 'Publisher': 'HQN Books', 'Year': '2013', 'Language': 'en'}",Just One Kiss,Susan Mallery
1307,037377768X,"{'ISBN-13': '9780373777686', 'Title': 'Two Of A Kind', 'Authors': ['Susan Mallery'], 'Publisher': 'HQN Books', 'Year': '2013', 'Language': 'en'}",Two Of A Kind,Susan Mallery
1308,0373777752,"{'ISBN-13': '9780373777754', 'Title': 'The Darkest Craving', 'Authors': ['Gena Showalter'], 'Publisher': 'HQN Books', 'Year': '2013', 'Language': 'en'}",The Darkest Craving,Gena Showalter
1309,0373777787,"{'ISBN-13': '9780373777785', 'Title': 'Three little words', 'Authors': ['Susan Mallery'], 'Publisher': 'Harlequin Books', 'Year': '2013', 'Language': ''}",Three little words,Susan Mallery
1313,0373778198,"{'ISBN-13': '9780373778195', 'Title': 'The perfect match', 'Authors': ['Kristan Higgins'], 'Publisher': '', 'Year': '2013', 'Language': ''}",The perfect match,Kristan Higgins
1322,0373802307,"{'ISBN-13': '9780373802302', 'Title': 'Poison study', 'Authors': ['Maria V. Snyder'], 'Publisher': 'LUNA', 'Year': '2005', 'Language': ''}",Poison study,Maria V. Snyder
1323,0373827822,"{'ISBN-13': '9780373827824', 'Title': 'Homespun Bride (The McKaslin Clan, Book 15) (Steeple Hill Love Inspired Historical #2)', 'Authors': ['Jillian Hart'], 'Publisher': 'Steeple Hill', 'Year': '2008', 'Language': ''}","Homespun Bride (The McKaslin Clan, Book 15) (Steeple Hill Love Inspired Historical #2)",Jillian Hart
1324,0373828640,"{'ISBN-13': '9780373828647', 'Title': 'The Lawman Claims His Bride', 'Authors': ['Renee Ryan'], 'Publisher': 'Love Inspired', 'Year': '', 'Language': ''}",The Lawman Claims His Bride,Renee Ryan
1325,0373860641,"{'ISBN-13': '9780373860647', 'Title': 'Irresistible Forces', 'Authors': ['Brenda Jackson'], 'Publisher': 'Kimani', 'Year': '2008', 'Language': ''}",Irresistible Forces,Brenda Jackson
1326,0373873697,"{'ISBN-13': '9780373873692', 'Title': 'A Very Special Delivery', 'Authors': ['Linda Goodnight'], 'Publisher': 'Steeple Hill', 'Year': '2006', 'Language': ''}",A Very Special Delivery,Linda Goodnight
1328,0373892713,"{'ISBN-13': '9780373892716', 'Title': 'The virgin diet', 'Authors': ['J. J. Virgin'], 'Publisher': 'Harlequin', 'Year': '2013', 'Language': ''}",The virgin diet,J. J. Virgin
1329,0374102414,"{'ISBN-13': '9780374102418', 'Title': 'The unwinding', 'Authors': ['George Packer'], 'Publisher': '', 'Year': '2013', 'Language': ''}",The unwinding,George Packer
1330,0374105235,"{'ISBN-13': '9780374105235', 'Title': 'A long way gone', 'Authors': ['Ishmael Beah'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '2007', 'Language': ''}",A long way gone,Ishmael Beah
1331,0374214913,"{'ISBN-13': '9780374214913', 'Title': ""Mr. Penumbra's 24-hour bookstore"", 'Authors': ['Robin Sloan'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '2012', 'Language': ''}",Mr. Penumbra's 24-hour bookstore,Robin Sloan
1332,0374264260,"{'ISBN-13': '9780374264260', 'Title': 'The silver linings playbook', 'Authors': ['Matthew Quick'], 'Publisher': 'Sarah Crichton Books/Farrar, Straus and Giroux', 'Year': '2008', 'Language': ''}",The silver linings playbook,Matthew Quick
1333,0374270325,"{'ISBN-13': '9780374270322', 'Title': 'A man in full', 'Authors': ['Tom Wolfe'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '1998', 'Language': ''}",A man in full,Tom Wolfe
1334,0374275637,"{'ISBN-13': '9780374275631', 'Title': 'Thinking, fast and slow', 'Authors': ['Daniel Kahneman'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '2011', 'Language': ''}","Thinking, fast and slow",Daniel Kahneman
1335,0374292795,"{'ISBN-13': '9780374292799', 'Title': 'The world is flat', 'Authors': ['Thomas L. Friedman'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '2006', 'Language': ''}",The world is flat,Thomas L. Friedman
1336,0374332657,"{'ISBN-13': '9780374332655', 'Title': 'Holes', 'Authors': ['Louis Sachar'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '1998', 'Language': ''}",Holes,Louis Sachar
1337,0374532281,"{'ISBN-13': '9780374532284', 'Title': 'The Silver Linings Playbook', 'Authors': ['Matthew Quick'], 'Publisher': 'Farrar, Straus and Giroux', 'Year': '2010', 'Language': ''}",The Silver Linings Playbook,Matthew Quick
1339,0375403477,"{'ISBN-13': '9780375403477', 'Title': 'Rainbow Six (Tom Clancy)', 'Authors': ['Tom Clancy'], 'Publisher': 'Random House Audio', 'Year': '1998', 'Language': ''}",Rainbow Six (Tom Clancy),Tom Clancy
1340,0375405445,"{'ISBN-13': '9780375405440', 'Title': 'Founding brothers', 'Authors': ['Joseph J. Ellis'], 'Publisher': 'Alfred A. Knopf', 'Year': '2000', 'Language': ''}",Founding brothers,Joseph J. Ellis
1341,0375406182,"{'ISBN-13': '9780375406188', 'Title': 'Plainsong', 'Authors': ['Kent Haruf'], 'Publisher': 'Alfred A. Knopf', 'Year': '1999', 'Language': ''}",Plainsong,Kent Haruf
1342,0375410341,"{'ISBN-13': '9780375410345', 'Title': ""Mark Z. Danielewski's House of leaves"", 'Authors': [''], 'Publisher': 'Pantheon Books', 'Year': '2000', 'Language': ''}",Mark Z. Danielewski's House of leaves,
